Country,Date,Manufacturing PMI,Services PMI,Consumer Confidence,Interest Rates,CPI YOY,Core CPI,Unemployment Rate,GDP YOY,Ticker,Open,High,Low,Close,z_score
australia,2020-01-01,49.6,50.6,93.4,0.75%,2.20%,1.70%,5.20%,1.20%,audusd,0.7021,0.7031,0.6682,0.6691,-0.12210888429887046
australia,2020-02-01,50.2,49.0,95.5,0.75%,2.20%,1.70%,5.10%,1.20%,audusd,0.669,0.6776,0.6434,0.6509,-0.3705326539257998
australia,2020-03-01,49.7,38.5,91.9,0.50%,2.20%,1.70%,5.20%,1.20%,audusd,0.6488,0.6686,0.5507,0.6135,-2.000813642102522
australia,2020-06-01,51.2,53.1,93.7,0.25%,-0.30%,1.20%,7.40%,-6.10%,audusd,0.6657,0.7063,0.6646,0.6902,0.2660532557432063
australia,2020-07-01,54.0,58.2,87.9,0.25%,0.70%,1.10%,7.50%,-3.20%,audusd,0.6903,0.7229,0.6877,0.7142,1.0579040214290432
australia,2020-08-01,53.6,49.0,79.5,0.25%,0.70%,1.10%,6.80%,-3.20%,audusd,0.7146,0.7404,0.7075,0.7375,-0.3705326539257998
australia,2020-09-01,55.4,50.8,93.9,0.25%,0.70%,1.10%,6.90%,-3.20%,audusd,0.7377,0.7415,0.7006,0.7161,-0.09105591309550498
australia,2020-10-01,54.2,53.7,105.0,0.25%,0.90%,1.10%,7.00%,-0.40%,audusd,0.7163,0.7244,0.7002,0.7026,0.3592121693533049
australia,2020-11-01,55.8,55.1,107.7,0.10%,0.90%,1.10%,6.80%,-0.40%,audusd,0.7034,0.7408,0.6991,0.7345,0.5765829677768677
australia,2020-12-01,55.7,57.0,112.0,0.10%,0.90%,1.10%,6.50%,-0.40%,audusd,0.7345,0.7743,0.734,0.7694,0.8715861942088458
australia,2021-01-01,57.2,55.6,107.0,0.10%,1.10%,1.10%,6.30%,2.00%,audusd,0.7695,0.7821,0.7592,0.7642,0.6542153957852831
australia,2021-02-01,56.9,53.4,109.1,0.10%,1.10%,1.10%,5.80%,2.00%,audusd,0.764,0.8008,0.7563,0.7705,0.3126327125482551
australia,2021-03-01,56.8,55.5,111.8,0.10%,1.10%,1.10%,5.70%,2.00%,audusd,0.7713,0.785,0.7563,0.7596,0.6386889101835997
australia,2021-04-01,59.7,58.8,118.8,0.10%,3.80%,1.60%,5.50%,10.60%,audusd,0.7597,0.7818,0.7531,0.7716,1.1510629350391406
australia,2021-05-01,60.4,58.0,113.1,0.10%,3.80%,1.60%,5.10%,10.60%,audusd,0.7717,0.7892,0.7675,0.7734,1.0268510502256765
australia,2021-06-01,58.6,56.8,107.2,0.10%,3.80%,1.60%,5.00%,10.60%,audusd,0.7735,0.7776,0.7476,0.7498,0.8405332230054793
australia,2021-07-01,56.9,44.2,108.9,0.10%,3.00%,2.10%,4.80%,4.60%,audusd,0.7498,0.76,0.7289,0.7344,-1.1158039628065868
australia,2021-08-01,52.0,42.9,104.1,0.10%,3.00%,2.10%,4.60%,4.60%,audusd,0.7341,0.7427,0.7106,0.7315,-1.3176482756284673
australia,2021-09-01,56.8,45.5,106.2,0.10%,3.00%,2.10%,4.70%,4.60%,audusd,0.7316,0.7479,0.7169,0.7226,-0.9139596499847072
australia,2021-10-01,58.2,51.8,104.6,0.10%,3.50%,2.60%,5.30%,5.40%,audusd,0.7225,0.7556,0.7192,0.7521,0.06420894292132573
australia,2021-11-01,59.2,55.7,105.3,0.10%,3.50%,2.60%,4.60%,5.40%,audusd,0.7509,0.7538,0.7063,0.7123,0.6697418813869663
australia,2021-12-01,57.7,55.1,104.3,0.10%,3.50%,2.60%,4.20%,5.40%,audusd,0.7126,0.7278,0.6992,0.726,0.5765829677768677
australia,2022-01-01,55.1,46.6,102.2,0.10%,5.10%,3.70%,4.20%,3.60%,audusd,0.7262,0.7315,0.6967,0.7064,-0.7431683083661933
australia,2022-02-01,57.0,57.4,100.8,0.10%,5.10%,3.70%,4.00%,3.60%,audusd,0.7069,0.7286,0.7032,0.7262,0.9336921366155778
australia,2022-03-01,57.7,55.6,96.6,0.10%,5.10%,3.70%,4.00%,3.60%,audusd,0.7261,0.7541,0.7164,0.748,0.6542153957852831
australia,2022-04-01,58.8,56.6,95.8,0.10%,6.10%,4.90%,3.90%,3.50%,audusd,0.7482,0.7663,0.7054,0.7063,0.8094802518021137
australia,2022-05-01,55.7,53.2,90.4,0.35%,6.10%,4.90%,4.00%,3.50%,audusd,0.7072,0.7268,0.6829,0.7173,0.2815797413448896
australia,2022-06-01,56.2,52.6,86.4,0.85%,6.10%,4.90%,3.60%,3.50%,audusd,0.7176,0.7283,0.6851,0.6901,0.18842082773479094
australia,2022-07-01,55.7,50.9,83.8,1.35%,7.30%,6.10%,3.50%,5.80%,audusd,0.6903,0.7033,0.6681,0.6985,-0.07552942749382169
australia,2022-08-01,53.8,50.2,81.2,1.85%,7.30%,6.10%,3.60%,5.80%,audusd,0.6982,0.7138,0.6834,0.6839,-0.18421482670560252
australia,2022-09-01,53.5,50.6,84.5,2.35%,7.30%,6.10%,3.60%,5.80%,audusd,0.6841,0.6917,0.6363,0.6402,-0.12210888429887046
australia,2022-10-01,52.7,49.3,83.7,2.60%,7.80%,6.90%,3.50%,2.40%,audusd,0.641,0.6549,0.617,0.6397,-0.32395319712075105
australia,2022-11-01,51.3,47.6,78.0,2.85%,7.80%,6.90%,3.50%,2.40%,audusd,0.6399,0.6801,0.6271,0.6786,-0.5879034523493626
australia,2022-12-01,50.2,47.3,80.3,3.10%,7.80%,6.90%,3.50%,2.40%,audusd,0.6785,0.6895,0.6628,0.6813,-0.6344829091544124
australia,2023-01-01,50.0,48.6,84.3,3.10%,7.00%,6.60%,3.60%,2.50%,audusd,0.6814,0.7143,0.6687,0.7054,-0.4326385963325319
australia,2023-02-01,50.5,50.7,78.5,3.35%,7.00%,6.60%,3.60%,2.50%,audusd,0.7057,0.7158,0.6697,0.6728,-0.10658239869718716
australia,2023-03-01,49.1,48.6,78.5,3.60%,7.00%,6.60%,3.60%,2.50%,audusd,0.6729,0.6785,0.6564,0.6685,-0.4326385963325319
australia,2023-04-01,48.0,53.7,85.8,3.60%,6.00%,5.90%,3.70%,2.10%,audusd,0.669,0.6807,0.6572,0.6607,0.3592121693533049
australia,2023-05-01,48.4,52.1,79.0,3.85%,6.00%,5.90%,3.60%,2.10%,audusd,0.661,0.6819,0.6457,0.65,0.1107883997263756
australia,2023-06-01,48.2,50.7,79.2,4.10%,6.00%,5.90%,3.50%,2.10%,audusd,0.6503,0.6901,0.6484,0.6666,-0.10658239869718716
australia,2023-07-01,49.6,47.9,81.3,4.10%,5.40%,5.20%,3.80%,2.10%,audusd,0.6666,0.6896,0.6599,0.672,-0.5413239955443138
australia,2023-08-01,49.6,47.8,81.0,4.10%,5.40%,5.20%,3.70%,2.10%,audusd,0.6718,0.6725,0.6364,0.6483,-0.5568504811459971
australia,2023-09-01,48.7,51.8,79.7,4.10%,5.40%,5.20%,3.60%,2.10%,audusd,0.6482,0.6522,0.6331,0.6434,0.06420894292132573
australia,2023-10-01,48.2,47.9,82.0,4.10%,4.10%,4.20%,3.80%,1.50%,audusd,0.6431,0.6446,0.627,0.6336,-0.5413239955443138
australia,2023-11-01,47.7,46.0,79.9,4.35%,4.10%,4.20%,3.90%,1.50%,audusd,0.6336,0.6678,0.6317,0.6605,-0.836327221976292
australia,2023-12-01,47.6,47.1,82.1,4.35%,4.10%,4.20%,3.90%,1.50%,audusd,0.6606,0.6873,0.6525,0.681,-0.6655358803577779
canada,2020-01-01,50.6,48.3,51.5,1.75%,2.40%,1.80%,5.50%,-0.30%,usdcad,1.2986,1.3254,1.2954,1.3235,-0.4792180531375817
canada,2020-02-01,51.8,42.0,53.97,1.75%,2.20%,1.80%,5.70%,-0.30%,usdcad,1.3238,1.3466,1.32,1.3396,-1.4573866460436147
canada,2020-03-01,46.1,37.8,53.03,1.25%,0.90%,1.60%,7.80%,-0.30%,usdcad,1.3412,1.4669,1.3314,1.4059,-2.109499041314304
canada,2020-06-01,47.8,42.2,42.33,0.25%,0.70%,1.10%,12.30%,-12.20%,usdcad,1.3782,1.3802,1.3313,1.3573,-1.4263336748402482
canada,2020-07-01,52.9,43.7,44.09,0.25%,0.10%,0.70%,10.90%,-4.50%,usdcad,1.3576,1.3648,1.3329,1.3413,-1.193436390815002
canada,2020-08-01,55.1,45.2,43.96,0.25%,0.10%,0.80%,10.20%,-4.50%,usdcad,1.3401,1.3452,1.3018,1.3045,-0.9605391067897561
canada,2020-09-01,56.0,46.3,45.35,0.25%,0.50%,1.00%,9.00%,-4.50%,usdcad,1.3042,1.3421,1.2992,1.3319,-0.7897477651712431
canada,2020-10-01,55.5,47.0,42.08,0.25%,0.70%,1.00%,8.90%,-3.00%,usdcad,1.3321,1.3391,1.3079,1.3317,-0.6810623659594612
canada,2020-11-01,55.8,47.5,44.5,0.25%,1.00%,1.50%,8.50%,-3.00%,usdcad,1.3316,1.3371,1.2921,1.3,-0.6034299379510458
canada,2020-12-01,57.9,46.3,45.25,0.25%,0.70%,1.50%,8.80%,-3.00%,usdcad,1.3002,1.3008,1.2686,1.273,-0.7897477651712431
canada,2021-01-01,54.4,48.6,47.98,0.25%,1.00%,1.60%,9.40%,0.30%,usdcad,1.2734,1.2882,1.2588,1.2777,-0.4326385963325319
canada,2021-02-01,54.8,49.0,46.34,0.25%,1.10%,1.20%,8.20%,0.30%,usdcad,1.2777,1.2871,1.2466,1.2739,-0.3705326539257998
canada,2021-03-01,58.5,51.2,50.25,0.25%,2.20%,1.40%,7.50%,0.30%,usdcad,1.2723,1.274,1.2363,1.2558,-0.028949970688771816
canada,2021-04-01,57.2,50.7,52.41,0.25%,3.40%,2.30%,8.10%,12.40%,usdcad,1.2562,1.2653,1.2264,1.2289,-0.10658239869718716
canada,2021-05-01,57.0,50.7,48.63,0.25%,3.60%,2.80%,8.20%,12.40%,usdcad,1.2289,1.2352,1.2011,1.2062,-0.10658239869718716
canada,2021-06-01,56.5,51.4,51.49,0.25%,3.10%,2.70%,7.80%,12.40%,usdcad,1.2064,1.2487,1.2004,1.2394,0.0021030005145936635
canada,2021-07-01,56.2,52.6,55.7,0.25%,3.70%,3.30%,7.50%,4.80%,usdcad,1.2399,1.2809,1.23,1.247,0.18842082773479094
canada,2021-08-01,57.2,51.6,55.01,0.25%,4.10%,3.50%,7.10%,4.80%,usdcad,1.2479,1.295,1.245,1.2614,0.033155971717960246
canada,2021-09-01,57.0,51.7,52.98,0.25%,4.40%,3.70%,6.90%,4.80%,usdcad,1.2622,1.2896,1.2491,1.2678,0.04868245731964353
canada,2021-10-01,57.7,52.3,55.37,0.25%,4.70%,3.80%,6.70%,4.40%,usdcad,1.2679,1.2739,1.2288,1.2387,0.14184137092974108
canada,2021-11-01,57.2,51.9,54.09,0.25%,4.70%,3.60%,6.00%,4.40%,usdcad,1.2394,1.2838,1.235,1.2776,0.07973542852300901
canada,2021-12-01,56.5,51.4,52.28,0.25%,4.80%,4.00%,6.00%,4.40%,usdcad,1.2778,1.2965,1.2607,1.2634,0.0021030005145936635
canada,2022-01-01,56.2,50.3,51.51,0.25%,5.10%,4.30%,6.50%,3.90%,usdcad,1.2634,1.2815,1.245,1.2705,-0.16868834110392034
canada,2022-02-01,56.6,51.9,51.41,0.25%,5.70%,4.80%,5.50%,3.90%,usdcad,1.2708,1.2879,1.2636,1.2675,0.07973542852300901
canada,2022-03-01,58.9,56.1,49.09,0.25%,6.70%,5.50%,5.30%,3.90%,usdcad,1.2679,1.2902,1.2428,1.2499,0.7318478237936984
canada,2022-04-01,56.2,55.0,49.98,0.25%,6.80%,5.70%,5.20%,5.20%,usdcad,1.2502,1.2881,1.2402,1.2856,0.5610564821751844
canada,2022-05-01,56.8,53.8,52.23,0.50%,7.70%,6.10%,5.10%,5.20%,usdcad,1.284,1.3078,1.2628,1.2644,0.37473865495498715
canada,2022-06-01,54.6,50.4,50.42,1.00%,8.10%,6.20%,4.90%,5.20%,usdcad,1.2645,1.308,1.2516,1.2872,-0.15316185550223704
canada,2022-07-01,52.5,48.0,50.35,1.00%,7.60%,6.10%,4.90%,4.00%,usdcad,1.2873,1.3225,1.2788,1.2793,-0.5257975099426305
canada,2022-08-01,48.7,46.6,50.32,1.50%,7.00%,5.80%,5.40%,4.00%,usdcad,1.2815,1.3142,1.2727,1.3127,-0.7431683083661933
canada,2022-09-01,49.8,48.0,50.14,2.50%,6.90%,6.00%,5.20%,4.00%,usdcad,1.3133,1.384,1.2953,1.3826,-0.5257975099426305
canada,2022-10-01,48.8,47.2,48.51,2.50%,6.90%,5.80%,5.20%,2.20%,usdcad,1.3816,1.3979,1.3494,1.3622,-0.6500093947560946
canada,2022-11-01,49.6,48.2,46.62,3.25%,6.80%,5.80%,5.10%,2.20%,usdcad,1.3625,1.3809,1.3226,1.3409,-0.49474453873926394
canada,2022-12-01,49.2,47.9,49.34,3.75%,6.30%,5.40%,5.00%,2.20%,usdcad,1.3411,1.3707,1.3384,1.3549,-0.5413239955443138
canada,2023-01-01,51.0,47.7,48.81,3.75%,5.90%,5.00%,5.00%,1.80%,usdcad,1.3551,1.3686,1.3298,1.3305,-0.5723769667476792
canada,2023-02-01,52.4,49.5,47.49,4.25%,5.20%,4.70%,5.00%,1.80%,usdcad,1.3305,1.3666,1.3261,1.3645,-0.29290022591738446
canada,2023-03-01,48.6,50.1,47.28,4.50%,4.30%,4.30%,5.00%,1.80%,usdcad,1.3642,1.3863,1.3507,1.3515,-0.1997413123072858
canada,2023-04-01,50.2,51.3,49.24,4.50%,4.40%,4.10%,5.00%,1.00%,usdcad,1.3518,1.3669,1.3302,1.355,-0.013423485087089628
canada,2023-05-01,49.0,50.8,49.54,4.50%,3.40%,3.70%,5.20%,1.00%,usdcad,1.3544,1.3656,1.3314,1.3572,-0.09105591309550498
canada,2023-06-01,48.8,49.7,51.43,4.50%,2.80%,3.20%,5.40%,1.00%,usdcad,1.3572,1.3586,1.3116,1.3236,-0.2618472547140179
canada,2023-07-01,49.6,48.5,49.55,4.50%,3.30%,3.20%,5.50%,0.50%,usdcad,1.3242,1.3389,1.3091,1.3187,-0.44816508193421517
canada,2023-08-01,48.0,47.2,46.9,4.75%,4.00%,3.30%,5.50%,0.50%,usdcad,1.319,1.3641,1.3182,1.3507,-0.6500093947560946
canada,2023-09-01,47.5,47.8,47.66,5.00%,3.80%,2.80%,5.50%,0.50%,usdcad,1.3508,1.3696,1.3381,1.3577,-0.5568504811459971
canada,2023-10-01,48.6,46.6,45.56,5.00%,3.10%,2.70%,5.70%,0.90%,usdcad,1.3572,1.3894,1.3556,1.3874,-0.7431683083661933
canada,2023-11-01,47.7,44.5,47.26,5.00%,3.10%,2.80%,5.80%,0.90%,usdcad,1.3874,1.3901,1.3541,1.3562,-1.069224506001538
canada,2023-12-01,45.4,44.6,46.57,5.00%,3.40%,2.60%,5.80%,0.90%,usdcad,1.3562,1.3621,1.3176,1.3245,-1.0536980203998547
china,2020-01-01,50.0,54.1,126.4,4.15%,5.40%,1.50%,5.30%,3.20%,usdcny,6.9632,6.9798,6.8403,6.9364,0.421318111760037
china,2020-03-01,52.0,52.3,122.2,4.05%,4.30%,1.20%,5.90%,3.20%,usdcny,6.9742,7.127,6.9094,7.0808,0.14184137092974108
china,2020-04-01,50.8,53.2,116.4,4.05%,3.30%,1.10%,6.00%,4.90%,usdcny,7.0825,7.1283,7.0275,7.06,0.2815797413448896
china,2020-05-01,50.6,53.6,115.8,3.85%,2.40%,1.10%,5.90%,4.90%,usdcny,7.0622,7.18,7.0622,7.1348,0.3436856837516217
china,2020-06-01,50.9,54.4,112.6,3.85%,2.50%,0.90%,5.70%,4.90%,usdcny,7.1151,7.14,7.0511,7.0651,0.46789756856508574
china,2020-07-01,51.1,54.2,117.2,3.85%,2.70%,0.50%,5.70%,6.50%,usdcny,7.0675,7.0743,6.9646,6.9744,0.43684459736172027
china,2020-08-01,51.0,55.2,116.4,3.85%,2.40%,0.50%,5.60%,6.50%,usdcny,6.9816,6.9885,6.8422,6.8474,0.592109453378551
china,2020-09-01,51.5,55.9,120.5,3.85%,1.70%,0.50%,5.40%,6.50%,usdcny,6.8445,6.8565,6.7508,6.7896,0.7007948525903318
china,2020-10-01,51.4,56.2,121.7,3.85%,0.50%,0.50%,5.30%,18.30%,usdcny,6.7908,6.7909,6.6408,6.6919,0.7473743093953817
china,2020-11-01,52.1,56.4,124.0,3.85%,-0.50%,0.50%,5.20%,18.30%,usdcny,6.6927,6.7508,6.5389,6.576,0.7784272805987472
china,2020-12-01,51.9,55.7,122.1,3.85%,0.20%,0.40%,5.20%,18.30%,usdcny,6.5789,6.5875,6.5152,6.525,0.6697418813869663
